,khipu_id,name,cluster_sum,is_top_cluster,is_duplicate_cluster,left_cluster_id,left_cluster_position,left_num_cluster_cords,left_cluster_sum_string,right_cluster_id,right_cluster_position,right_num_cluster_cords,right_cluster_sum_string,cluster_distance,cord_count_distance
15,1000096,AS069,21,False,False,1003562,16,6,"W@[17, 1]:0 + W@[17, 2]:1 + W@[17, 3]:0 + W@[17, 4]:0 + W@[17, 5]:20 + W@[17, 6]:0",1003450,342,7,"W@[343, 1]:0 + W@[343, 2]:0 + W@[343, 3]:0 + W@[343, 4]:0 + W@[343, 5]:21 + W@[343, 6]:0 + W@[343, 7]:0",326,1
16,1000096,AS069,120,False,False,1003580,25,6,"W@[26, 1]:0 + W@[26, 2]:120 + W@[26, 3]:0 + W@[26, 4]:0 + W@[26, 5]:0 + W@[26, 6]:0",1003339,266,7,"W@[267, 1]:0 + W@[267, 2]:120 + W@[267, 3]:0 + W@[267, 4]:0 + W@[267, 5]:0 + W@[267, 6]:0 + W@[267, 7]:0",241,1
17,1000096,AS069,42,False,False,1003604,27,7,"W@[28, 1]:0 + W@[28, 2]:20 + W@[28, 3]:0 + W@[28, 4]:2 + W@[28, 5]:10 + W@[28, 6]:10 + W@[28, 7]:0",1003378,253,6,"W@[254, 1]:0 + W@[254, 2]:11 + W@[254, 3]:31 + W@[254, 4]:0 + W@[254, 5]:0 + W@[254, 6]:0",226,1
18,1000096,AS069,87,False,False,1003510,68,7,"W@[69, 1]:0 + W@[69, 2]:30 + W@[69, 3]:20 + W@[69, 4]:2 + W@[69, 5]:35 + W@[69, 6]:0 + W@[69, 7]:0",1003538,94,16,"W@[95, 1]:0 + W@[95, 2]:5 + W@[95, 3]:4 + W@[95, 4]:10 + W@[95, 5]:7 + W@[95, 6]:15 + W@[95, 7]:0 + W@[95, 8]:0 + W@[95, 9]:0 + W@[95, 10]:0 + W@[95, 11]:0 + W@[95, 12]:0 + W@[95, 13]:0 + W@[95, 14]:0 + <span style=""color:#F80000;"">W:KB@[95, 2, 1]:33</span> + <span style=""color:#F80000;"">W:KB@[95, 9, 1]:13</span>",26,9
19,1000096,AS069,52,False,False,1003508,70,7,"W@[71, 1]:0 + W@[71, 2]:0 + W@[71, 3]:20 + W@[71, 4]:0 + @[71, 5]:12 + W@[71, 6]:20 + W@[71, 7]:0",1003353,226,1,"W:KB@[227, 1]:52",156,6
20,1000096,AS069,33,False,False,1003680,112,10,"W@[113, 1]:0 + W@[113, 2]:0 + W@[113, 3]:0 + W@[113, 4]:0 + W@[113, 5]:0 + W@[113, 6]:0 + W@[113, 7]:0 + <span style=""color:#F80000;"">W-FB@[113, 3, 1]:10</span> + <span style=""color:#F80000;"">W-FB@[113, 5, 1]:0</span> + <span style=""color:#F80000;"">W-KB@[113, 5, 1, 1]:23</span>",1003408,384,14,"W@[385, 1]:0 + W@[385, 2]:0 + W@[385, 3]:0 + W@[385, 4]:3 + W@[385, 5]:12 + W@[385, 6]:0 + W@[385, 7]:0 + <span style=""color:#F80000;"">W@[385, 1, 1]:0</span> + <span style=""color:#F80000;"">W@[385, 2, 1]:10</span> + <span style=""color:#F80000;"">W@[385, 3, 1]:0</span> + <span style=""color:#F80000;"">W@[385, 4, 1]:0</span> + <span style=""color:#F80000;"">W@[385, 5, 1]:8</span> + <span style=""color:#F80000;"">W@[385, 6, 1]:0</span> + <span style=""color:#F80000;"">W@[385, 7, 1]:0</span>",272,4
21,1000096,AS069,25,False,False,1003652,194,7,"W@[195, 1]:0 + W@[195, 2]:20 + W@[195, 3]:0 + W@[195, 4]:0 + W@[195, 5]:5 + W@[195, 6]:0 + W@[195, 7]:0",1003314,294,7,"W@[295, 1]:0 + W@[295, 2]:25 + W@[295, 3]:0 + W@[295, 4]:0 + W@[295, 5]:0 + W@[295, 6]:0 + W@[295, 7]:0",100,0
22,1000096,AS069,26,False,False,1003638,208,7,"W@[209, 1]:0 + W@[209, 2]:0 + W@[209, 3]:0 + W@[209, 4]:0 + W@[209, 5]:13 + W@[209, 6]:0 + <span style=""color:#F80000;"">W@[209, 5, 1]:13</span>",1003500,213,7,"W@[214, 1]:0 + W@[214, 2]:10 + W@[214, 3]:2 + W@[214, 4]:2 + W@[214, 5]:12 + W@[214, 6]:0 + W@[214, 7]:0",5,0
23,1000096,AS069,51,False,False,1003367,240,1,"W@[241, 1]:51",1003368,263,6,"W@[264, 1]:0 + W@[264, 2]:51 + W@[264, 3]:0 + W@[264, 4]:0 + W@[264, 5]:0 + W@[264, 6]:0",23,5
24,1000096,AS069,34,False,False,1003311,291,7,"W@[292, 1]:0 + W@[292, 2]:10 + W@[292, 3]:0 + W@[292, 4]:0 + W@[292, 5]:24 + W@[292, 6]:0 + W@[292, 7]:0",1003426,420,6,"W@[421, 1]:0 + W@[421, 2]:15 + W@[421, 3]:0 + W@[421, 4]:5 + W@[421, 5]:14 + W@[421, 6]:0",129,1
