,khipu_id,name,cluster_id,cluster_position,m,b,residual,num_cords,cord_values,mean_cord_value
115,6000009,AS072,6000221,6,-84.50767544287255,36.0,0.8320000000000001,4,"30, 10, 0, 0",10.0
116,6000009,AS072,6000223,8,-86.51067509420362,96.0,0.6091428571428571,4,"90, 40, 60, 30",55.0
117,6000018,KH0057,6000521,21,-71.56505117707798,8.999999999999996,1.0,3,"6, 3, 0",3.0
118,6000018,KH0057,6000525,25,-71.56505117707798,7.999999999999997,0.75,3,"6, 0, 0",2.0
119,6000018,KH0057,6000529,29,-71.56505117707798,9.999999999999996,0.6122448979591835,3,"10, 1, 2",4.0
120,6000018,KH0057,6000531,31,-71.56505117707798,9.999999999999996,0.6818181818181817,3,"10, 2, 2",4.0
121,6000022,KH0081,6000673,11,-83.6598082540901,39.99999999999999,0.9729729729729729,3,"33, 23, 12",22.0
122,6000022,KH0081,6000688,26,-85.91438322002513,91.0,0.7169082125603865,7,"98, 33, 75, 22, 18, 0, 3",35.0
123,6000022,KH0081,6000695,33,-82.09283729704156,41.2,0.6037546933667084,6,"44, 10, 33, 8, 0, 3",16.0
124,6000025,KH0227,6001096,11,-80.26462610449505,34.400000000000006,0.7451100870455709,6,"37, 20, 8, 8, 12, 0",14.0
125,6000028,MM001,6001215,16,-77.47119229084849,54.0,0.9705882352941175,3,"50, 46, 40",45.0
126,6000031,MM004,6001293,2,-73.73979529168804,37.42857142857143,0.6585730916347913,8,"40, 23, 26, 23, 27, 20, 20, 0",22.0
127,6000031,MM004,6001299,8,-78.11134196037202,37.0,0.7331912878787878,7,"38, 32, 20, 10, 10, 20, 0",18.0
128,6000042,MM015,6001392,1,-78.99645914825051,47.142857142857146,0.9042386185243327,8,"44, 38, 33, 26, 18, 18, 4, 13",24.0
129,6000046,MM019,6001455,4,-81.2538377374448,41.5,0.7320217096336499,5,"45, 26, 14, 14, 14",22.0
130,6000047,MM020,6001564,17,-67.38013505195958,12.400000000000002,0.7179487179487181,6,"17, 8, 3, 0, 0, 0",4.0
131,6000051,QU002,6001671,1,-71.28826212490023,28.285714285714285,0.7612410817985731,8,"22, 25, 28, 12, 14, 14, 8, 1",15.0
132,6000060,QU011,6001959,15,-80.53767779197439,28.0,0.6501547987616099,4,"28, 12, 4, 9",13.0
133,6000064,QU015,6002292,11,-77.47119229084849,20.999999999999996,0.8999999999999999,3,"16, 14, 7",12.0
134,6000064,QU015,6002305,24,-77.47119229084849,30.999999999999996,0.8653846153846154,3,"25, 23, 18",22.0
135,6000067,QU018,6002427,0,-76.7594800848128,28.0,0.7280380673499268,7,"33, 11, 12, 12, 7, 1, 2",11.0
136,6000067,QU018,6002428,1,-56.309932474020215,11.0,0.84375,7,"10, 8, 9, 6, 1, 3, 0",5.0
137,6000067,QU018,6002433,6,-68.74949449286676,14.000000000000002,0.8214285714285715,6,"17, 8, 7, 2, 0, 0",5.0
138,6000074,UR017,6002899,23,-84.55966796899449,27.99999999999999,0.7499999999999999,3,"21, 0, 0",7.0
139,6000085,UR165,6003872,10,-77.47119229084849,11.999999999999996,0.7388059701492538,3,"10, 0, 0",3.0
140,6000086,UR167,6004012,0,-82.50414236027015,38.0,0.8488311688311687,4,"35, 20, 11, 11",19.0
141,6000087,UR190,6004022,3,-79.66889515566031,27.200000000000003,0.732564330079858,6,"25, 20, 1, 1, 1, 0",8.0
