,khipu_id,name,num_cluster_sum_bands,total_clusters
195,1000634,JC010,1,18
196,1000635,JC011,3,6
197,1000636,JC012,3,3
198,1000637,JC013,0,7
199,1000638,JC014,0,1
200,1000639,JC015,1,2
201,1000640,JC016,1,1
202,1000641,JC017,0,1
203,1000642,JC018,0,3
204,1000643,JC019,0,1
205,1000644,JC020,0,1
206,1000645,JC021,0,4
207,1000646,JC022,0,2
208,1000647,JC023,0,2
209,1000012,UR002,0,10
210,1000020,UR003,2,15
211,1000005,UR005,0,4
212,1000025,UR006,3,63
213,1000006,UR007,0,16
214,1000001,UR008,0,2
215,1000019,UR009,1,21
216,1000004,UR010,0,30
217,1000007,UR011,0,24
218,1000009,UR012,0,12
219,1000008,UR013,0,7
220,1000011,UR014,0,10
221,1000010,UR015,0,11
222,1000018,UR016,0,7
223,1000003,UR018,0,8
224,1000000,UR019,0,4
225,1000002,UR020,0,9
226,1000022,UR021,3,23
227,1000045,UR022,0,31
228,1000307,UR023,0,2
229,1000306,UR024,0,2
230,1000335,UR026,0,7
231,1000303,UR027,0,4
232,1000304,UR028,0,8
233,1000305,UR029,3,7
234,1000330,UR032,0,10
235,1000276,UR033,0,1
236,1000380,UR034,0,38
237,1000331,UR037,6,28
238,1000277,UR038,0,4
239,1000098,UR040,0,4
240,1000099,UR041,0,9
241,1000100,UR042,1,6
242,1000332,UR045,0,38
243,1000241,UR046,0,7
244,1000240,UR047,0,10
245,1000239,UR048,0,14
246,1000238,UR049,0,29
247,1000375,UR051,1,15
248,1000265,UR053A,0,3
249,1000266,UR053B,0,1
250,1000267,UR053C,0,1
251,1000268,UR053D,0,2
252,1000269,UR053E,0,4
253,1000295,UR056A,0,5
254,1000296,UR056B,0,8
255,1000297,UR056C,0,5
256,1000309,UR057,1,4
257,1000298,UR058A,2,9
258,1000299,UR058B,0,12
259,1000390,UR059,2,8
260,1000264,UR060,4,22
261,1000246,UR061,0,10
262,1000243,UR062,0,6
263,1000259,UR063,0,8
264,1000263,UR064,0,7
265,1000242,UR065,0,1
266,1000261,UR066,0,6
267,1000260,UR067,0,4
268,1000262,UR068,0,17
269,1000245,UR069,0,5
270,1000247,UR070,0,7
271,1000248,UR071,0,4
272,1000249,UR072,2,15
273,1000250,UR073,0,16
274,1000251,UR074,0,20
275,1000252,UR075,0,12
276,1000253,UR076,0,5
277,1000244,UR077,0,6
278,1000254,UR078,0,1
279,1000255,UR079,0,7
280,1000256,UR080,0,8
281,1000257,UR081,0,4
282,1000258,UR082,0,6
283,1000319,UR084,0,6
284,1000280,UR085,0,16
285,1000336,UR086,0,23
286,1000273,UR087,0,56
287,1000270,UR088,0,1
288,1000275,UR089,0,9
289,1000274,UR090,0,4
290,1000271,UR091,0,3
291,1000272,UR092,0,1
292,1000321,UR093,0,12
293,1000337,UR094,0,7
294,1000338,UR095,0,6
295,1000339,UR096,0,3
296,1000340,UR097,0,10
297,1000347,UR098,0,2
298,1000348,UR099,0,2
299,1000349,UR100,0,2
300,1000350,UR101,0,1
301,1000351,UR102,0,12
302,1000352,UR103,0,3
303,1000103,UR1032,3,108
304,1000105,UR1033A,0,1
305,1000106,UR1033B,0,6
306,1000107,UR1033C,0,8
307,1000108,UR1033D,0,12
308,1000109,UR1033E,0,2
309,1000110,UR1033F,0,3
310,1000111,UR1033G,0,3
311,1000333,UR1034,2,18
312,1000353,UR104,0,1
313,1000208,UR1040,0,3
314,1000230,UR1049,1,3
315,1000354,UR105,0,3
316,1000214,UR1051,0,10
317,1000170,UR1052,1,4
318,1000169,UR1053,0,2
319,1000183,UR1057,3,94
320,1000176,UR1058,0,9
321,1000355,UR106,0,1
322,1000356,UR107,0,12
323,1000357,UR108,0,1
324,1000344,UR1084,0,26
325,1000310,UR1087,0,2
326,1000313,UR1088,0,25
327,1000358,UR109,0,2
328,1000312,UR1091,1,21
329,1000314,UR1095,0,10
330,1000315,UR1096,0,22
331,1000039,UR1097,0,5
332,1000040,UR1098,0,15
333,1000041,UR1099,0,16
334,1000042,UR1100,0,9
335,1000046,UR1102,0,3
336,1000047,UR1103,0,5
337,1000048,UR1104,0,4
338,1000049,UR1105,0,2
339,1000050,UR1106,0,11
340,1000051,UR1107,0,8
341,1000052,UR1108,0,17
342,1000053,UR1109,3,69
343,1000359,UR111,0,9
344,1000057,UR1113,0,17
345,1000063,UR1114,0,4
346,1000072,UR1116,0,2
347,1000073,UR1117,0,7
348,1000074,UR1118,0,3
349,1000075,UR1119,0,1
350,1000076,UR1120,0,4
351,1000077,UR1121,0,80
352,1000079,UR1123,0,7
353,1000080,UR1124,0,7
354,1000081,UR1124 Detail 1,0,4
355,1000083,UR1126,0,25
