,khipu_id,name,num_sum_clusters,num_sum_cords,num_left_sums,num_right_sums,max_indexed_cluster_cords,min_sum,max_sum,mean_sum,handedness
85,1000064,AS160,1,1,0,1,1,15,15,15,8.0
86,1000138,AS164,0,0,0,0,0,0,0,0,0.0
87,1000142,AS168,0,0,0,0,0,0,0,0,0.0
88,1000143,AS169,1,1,0,1,1,6,6,6,6.0
89,1000144,AS170,3,4,2,2,2,8,13,11.5,7.75
90,1000145,AS171,3,3,0,3,1,7,14,11.333333333333334,9.0
91,1000146,AS172,2,2,0,2,1,820,820,820,8.5
92,1000059,AS173,0,0,0,0,0,0,0,0,0.0
93,1000060,AS174,2,2,0,2,1,16,24,20,5.0
94,1000149,AS177,0,0,0,0,0,0,0,0,0.0
95,1000150,AS178,0,0,0,0,0,0,0,0,0.0
96,1000154,AS182,0,0,0,0,0,0,0,0,0.0
97,1000155,AS182B,0,0,0,0,0,0,0,0,0.0
98,1000156,AS183,0,0,0,0,0,0,0,0,0.0
99,1000157,AS184,1,1,1,0,1,8,8,8,-3.0
100,1000158,AS185,0,0,0,0,0,0,0,0,0.0
101,1000159,AS186,0,0,0,0,0,0,0,0,0.0
102,1000160,AS187,0,0,0,0,0,0,0,0,0.0
103,1000161,AS188,0,0,0,0,0,0,0,0,0.0
104,1000162,AS189,0,0,0,0,0,0,0,0,0.0
105,1000066,AS191,0,0,0,0,0,0,0,0,0.0
106,1000067,AS192,0,0,0,0,0,0,0,0,0.0
107,1000068,AS193,0,0,0,0,0,0,0,0,0.0
108,1000061,AS194,0,0,0,0,0,0,0,0,0.0
109,1000062,AS195,0,0,0,0,0,0,0,0,0.0
110,1000069,AS196,0,0,0,0,0,0,0,0,0.0
111,1000070,AS197,0,0,0,0,0,0,0,0,0.0
112,1000163,AS198,0,0,0,0,0,0,0,0,0.0
113,1000164,AS199,0,0,0,0,0,0,0,0,0.0
114,1000165,AS200,2,2,1,1,1,120,120,120,-1.0
115,1000026,AS201,0,0,0,0,0,0,0,0,0.0
116,1000013,AS202,0,0,0,0,0,0,0,0,0.0
117,1000014,AS203,0,0,0,0,0,0,0,0,0.0
118,1000027,AS204,0,0,0,0,0,0,0,0,0.0
119,1000028,AS205,0,0,0,0,0,0,0,0,0.0
120,1000015,AS206,1,1,0,1,1,142,142,142,9.0
121,1000029,AS207A,10,20,5,15,6,6,31,12.2,46.2
122,1000030,AS207B,0,0,0,0,0,0,0,0,0.0
123,1000031,AS207C,0,0,0,0,0,0,0,0,0.0
124,1000032,AS209,0,0,0,0,0,0,0,0,0.0
125,1000017,AS210,0,0,0,0,0,0,0,0,0.0
126,1000033,AS211,0,0,0,0,0,0,0,0,0.0
127,1000034,AS212,9,17,5,12,4,6,33,11.705882352941176,16.235294117647058
128,1000035,AS213,0,0,0,0,0,0,0,0,0.0
129,1000036,AS214,0,0,0,0,0,0,0,0,0.0
130,1000037,AS215,0,0,0,0,0,0,0,0,0.0
131,1000038,AS215F,0,0,0,0,0,0,0,0,0.0
132,1000204,AS35A,0,0,0,0,0,0,0,0,0.0
133,1000205,AS35B,0,0,0,0,0,0,0,0,0.0
134,1000420,HP001,0,0,0,0,0,0,0,0,0.0
135,1000421,HP002,0,0,0,0,0,0,0,0,0.0
136,1000422,HP003,0,0,0,0,0,0,0,0,0.0
137,1000423,HP004,1,1,0,1,1,45,45,45,6.0
138,1000424,HP005,0,0,0,0,0,0,0,0,0.0
139,1000425,HP006,0,0,0,0,0,0,0,0,0.0
140,1000426,HP007,0,0,0,0,0,0,0,0,0.0
141,1000427,HP008,0,0,0,0,0,0,0,0,0.0
142,1000429,HP010,0,0,0,0,0,0,0,0,0.0
143,1000430,HP011,0,0,0,0,0,0,0,0,0.0
144,1000431,HP012,0,0,0,0,0,0,0,0,0.0
145,1000432,HP013,0,0,0,0,0,0,0,0,0.0
146,1000433,HP014,2,2,1,1,1,19,41,30,9.5
147,1000434,HP015,0,0,0,0,0,0,0,0,0.0
148,1000435,HP016,0,0,0,0,0,0,0,0,0.0
149,1000436,HP017,5,5,4,1,1,69,110,80.6,-24.2
150,1000437,HP018,2,2,2,0,1,22,26,24,-13.5
151,1000438,HP019,0,0,0,0,0,0,0,0,0.0
152,1000439,HP020,1,1,1,0,1,7,7,7,-13.0
153,1000440,HP021,0,0,0,0,0,0,0,0,0.0
154,1000441,HP022,0,0,0,0,0,0,0,0,0.0
155,1000442,HP023,0,0,0,0,0,0,0,0,0.0
156,1000443,HP024,0,0,0,0,0,0,0,0,0.0
157,1000444,HP025,0,0,0,0,0,0,0,0,0.0
158,1000445,HP026,0,0,0,0,0,0,0,0,0.0
159,1000446,HP027,0,0,0,0,0,0,0,0,0.0
160,1000447,HP028,0,0,0,0,0,0,0,0,0.0
161,1000448,HP029,0,0,0,0,0,0,0,0,0.0
162,1000449,HP030,1,1,0,1,1,2783,2783,2783,31.0
163,1000450,HP031,0,0,0,0,0,0,0,0,0.0
164,1000451,HP032,0,0,0,0,0,0,0,0,0.0
165,1000579,HP049,0,0,0,0,0,0,0,0,0.0
166,1000580,HP050,2,2,2,0,1,22,22,22,-9.0
167,1000582,HP051 B,1,1,1,0,1,7,7,7,-27.0
168,1000583,HP052,0,0,0,0,0,0,0,0,0.0
169,1000586,HP056,14,30,12,18,6,6,155,29.7,12.333333333333334
170,1000012,UR002,0,0,0,0,0,0,0,0,0.0
171,1000020,UR003,1,1,0,1,1,6,6,6,109.0
172,1000005,UR005,0,0,0,0,0,0,0,0,0.0
173,1000025,UR006,17,49,11,38,9,6,21,10.020408163265307,106.71428571428571
174,1000006,UR007,0,0,0,0,0,0,0,0,0.0
175,1000001,UR008,0,0,0,0,0,0,0,0,0.0
176,1000019,UR009,2,2,0,2,1,7,7,7,70.0
177,1000004,UR010,19,41,29,12,5,6,125,28.853658536585368,-34.829268292682926
178,1000007,UR011,9,10,3,7,2,33,253,133.9,-1.1
179,1000009,UR012,1,1,0,1,1,61,61,61,13.0
180,1000008,UR013,0,0,0,0,0,0,0,0,0.0
181,1000011,UR014,0,0,0,0,0,0,0,0,0.0
182,1000010,UR015,0,0,0,0,0,0,0,0,0.0
183,1000018,UR016,2,2,0,2,1,12,16,14,118.0
184,1000003,UR018,0,0,0,0,0,0,0,0,0.0
185,1000000,UR019,0,0,0,0,0,0,0,0,0.0
186,1000002,UR020,0,0,0,0,0,0,0,0,0.0
187,1000022,UR021,6,9,6,3,3,6,14,9.333333333333334,-15.222222222222221
188,1000045,UR022,14,19,10,9,4,13,63,29.842105263157894,10.68421052631579
189,1000307,UR023,0,0,0,0,0,0,0,0,0.0
190,1000306,UR024,0,0,0,0,0,0,0,0,0.0
191,1000335,UR026,1,1,1,0,1,12,12,12,-10.0
192,1000303,UR027,0,0,0,0,0,0,0,0,0.0
193,1000304,UR028,0,0,0,0,0,0,0,0,0.0
194,1000305,UR029,1,1,0,1,1,7,7,7,8.0
195,1000330,UR032,0,0,0,0,0,0,0,0,0.0
196,1000276,UR033,0,0,0,0,0,0,0,0,0.0
197,1000380,UR034,14,20,6,14,3,6,116,23.15,6.4
198,1000331,UR037,3,10,5,5,4,6,27,14.2,1.9
199,1000277,UR038,0,0,0,0,0,0,0,0,0.0
200,1000098,UR040,0,0,0,0,0,0,0,0,0.0
201,1000099,UR041,1,2,1,1,2,6,6,6,0.5
202,1000100,UR042,0,0,0,0,0,0,0,0,0.0
