,khipu_id,name,cord_id,cord_name,cord_position,cord_position_index,cord_value,num_summands,sum_string,handedness
61,1000127,UR1152,3014188,p58s2,"B@[18, 1, 1]:10",1,10,3,"B@[5, 1, 0]:3+B@[8, 1, 1]:1+B@[11, 1, 0]:6",-34
62,1000140,UR1166,3014801,p157s1,"YB@[15, 0, 0]:42",0,42,2,"YB@[1, 0, 0]:17+YB@[3, 0, 0]:25",-144
63,1000147,UR1175,3015380,p110s1,"W@[22, 0, 0]:51",0,51,2,"W@[13, 0, 0]:24+W@[14, 0, 0]:27",-43
64,1000147,UR1175,3015424,p186s1,"LB@[37, 1, 0]:20",1,20,2,"LB@[29, 1, 0]:10+LB@[30, 1, 1]:10",-37
65,1000147,UR1175,3015438,p216s1,"LB@[43, 1, 0]:14",1,14,2,"LB@[24, 1, 0]:5+LB@[25, 1, 0]:9",-93
66,1000147,UR1175,3015440,p221s1,"LB@[44, 1, 0]:30",1,30,2,"LB@[26, 1, 0]:10+LB@[27, 1, 0]:20",-88
67,1000147,UR1175,3015329,p6s1,"LB@[1, 1, 0]:55",1,55,5,"LB@[25, 1, 0]:9+LB@[26, 1, 0]:10+LB@[27, 1, 0]:20+LB@[28, 1, 0]:6+LB@[29, 1, 0]:10",130
68,1000147,UR1175,3015330,p10s1,"W@[2, 0, 0]:10",0,10,2,"W@[38, 0, 0]:0+W@[39, 0, 0]:10",183
69,1000147,UR1175,3015332,p15s1,"W@[3, 0, 0]:22",0,22,3,"W@[16, 0, 0]:2+W@[17, 0, 0]:0+W@[18, 0, 0]:20",70
70,1000147,UR1175,3015333,p16s1,"LB@[3, 1, 0]:50",1,50,5,"LB@[24, 1, 0]:5+LB@[25, 1, 0]:9+LB@[26, 1, 0]:10+LB@[27, 1, 0]:20+LB@[28, 1, 0]:6",115
71,1000147,UR1175,3015335,p20s1,"W@[4, 0, 0]:24",0,24,2,"W@[33, 0, 0]:13+W@[34, 0, 0]:11",147
72,1000147,UR1175,3015336,p21s1,"LB@[4, 1, 0]:51",1,51,5,"LB@[27, 1, 0]:20+LB@[28, 1, 0]:6+LB@[29, 1, 0]:10+LB@[30, 1, 1]:10+LB@[31, 1, 0]:5",125
73,1000147,UR1175,3015337,p25s1,"W@[5, 0, 0]:13",0,13,2,"W@[19, 0, 0]:7+W@[20, 0, 0]:6",72
74,1000147,UR1175,3015338,p26s1,"LB@[5, 1, 0]:36",1,36,2,"LB@[8, 1, 0]:26+LB@[9, 1, 0]:10",17
75,1000147,UR1175,3015340,p31s1,"LB@[6, 1, 0]:41",1,41,5,"LB@[31, 1, 0]:5+LB@[32, 1, 0]:0+LB@[33, 1, 0]:12+LB@[34, 1, 0]:10+LB@[35, 1, 0]:14",135
76,1000147,UR1175,3015345,p40s1,"W@[8, 0, 0]:30",0,30,2,"W@[10, 0, 0]:18+W@[11, 0, 0]:12",13
77,1000147,UR1175,3015353,p51s1,"LB@[10, 1, 0]:71",1,71,2,"LB@[17, 1, 0]:25+LB@[18, 1, 0]:46",38
78,1000147,UR1175,3015355,p56s1,"LB@[11, 1, 0]:43",1,43,6,"LB@[28, 1, 0]:6+LB@[29, 1, 0]:10+LB@[30, 1, 1]:10+LB@[31, 1, 0]:5+LB@[32, 1, 0]:0+LB@[33, 1, 0]:12",97
79,1000147,UR1175,3015358,p65s1,"W@[13, 0, 0]:24",0,24,2,"W@[33, 0, 0]:13+W@[34, 0, 0]:11",102
80,1000147,UR1175,3015360,p70s1,"W@[14, 0, 0]:27",0,27,2,"W@[18, 0, 0]:20+W@[19, 0, 0]:7",23
81,1000147,UR1175,3015363,p76s1,"LB@[15, 1, 0]:54",1,54,3,"LB@[42, 1, 0]:10+LB@[43, 1, 0]:14+LB@[44, 1, 0]:30",140
82,1000147,UR1175,3015369,p81s1,"LB@[16, 1, 0]:50",1,50,5,"LB@[24, 1, 0]:5+LB@[25, 1, 0]:9+LB@[26, 1, 0]:10+LB@[27, 1, 0]:20+LB@[28, 1, 0]:6",50
83,1000147,UR1175,3015371,p86s1,"LB@[17, 1, 0]:25",1,25,3,"LB@[29, 1, 0]:10+LB@[30, 1, 1]:10+LB@[31, 1, 0]:5",65
84,1000147,UR1175,3015378,p105s1,"W@[21, 0, 0]:40",0,40,2,"W@[41, 0, 0]:0+W@[42, 0, 0]:40",102
85,1000147,UR1175,3015385,p111s1,"LB@[22, 1, 0]:66",1,66,5,"LB@[33, 1, 0]:12+LB@[34, 1, 0]:10+LB@[35, 1, 0]:14+LB@[36, 1, 0]:10+LB@[37, 1, 0]:20",65
