,khipu_id,name,cluster_position,split_index,split_ratio,num_cords,split_sum,cluster_sum
119,1000607,UR266,1,2,0.4,5,3618,7236
120,1000612,UR270,19,3,0.3,10,1537,3074
121,1000613,UR271,2,5,0.455,11,11,22
122,1000614,UR272,0,2,0.4,5,15,30
123,1000614,UR272,17,5,0.5,10,12,24
124,1000649,UR282,0,3,0.333,9,12,24
125,1000651,UR284,1,2,0.5,4,14,28
126,1000652,UR285,0,8,0.571,14,8,16
127,1000658,UR291A,10,3,0.25,12,11,22
128,1000658,UR291A,13,11,0.786,14,29,58
129,6000019,KH0058,7,2,0.25,8,90,180
130,6000028,MM001,8,4,0.5,8,50,100
131,6000028,MM001,15,4,0.5,8,50,100
132,6000030,MM003,5,4,0.571,7,45,90
133,6000046,MM019,7,5,0.455,11,10,20
134,6000046,MM019,11,3,0.375,8,6,12
135,6000046,MM019,29,2,0.4,5,4,8
136,6000048,MM021,8,4,0.5,8,18,36
137,6000062,QU013,8,2,0.5,4,12,24
138,6000062,QU013,15,14,0.264,53,3,6
139,6000068,QU019,6,5,0.625,8,170,340
140,6000068,QU019,20,18,0.514,35,78,156
141,6000073,UR004,44,9,0.692,13,6,12
142,6000073,UR004,56,2,0.5,4,3,6
143,6000073,UR004,59,3,0.6,5,3,6
144,6000073,UR004,62,6,0.5,12,10,20
145,6000073,UR004,63,4,0.5,8,7,14
146,6000084,UR155,0,8,0.727,11,70,140
147,6000087,UR190,2,2,0.333,6,20,40
148,6000087,UR190,10,4,0.667,6,40,80
