,khipu_id,name,num_sum_cords,num_left_sums,num_right_sums,max_indexed_subsidiary_cords,min_sum,max_sum,mean_sum,handedness
102,1000160,AS187,0,0,0,0,0,0,0,0
103,1000161,AS188,0,0,0,0,0,0,0,0
104,1000162,AS189,2,1,1,4,29,29,29,2.5
105,1000066,AS191,0,0,0,0,0,0,0,0
106,1000067,AS192,2,0,2,4,39,49,44,3.5
107,1000068,AS193,0,0,0,0,0,0,0,0
108,1000061,AS194,0,0,0,0,0,0,0,0
109,1000062,AS195,0,0,0,0,0,0,0,0
110,1000069,AS196,0,0,0,0,0,0,0,0
111,1000070,AS197,0,0,0,0,0,0,0,0
112,1000163,AS198,0,0,0,0,0,0,0,0
113,1000164,AS199,0,0,0,0,0,0,0,0
114,1000165,AS200,1,0,1,8,16,16,16,13
115,1000026,AS201,0,0,0,0,0,0,0,0
116,1000013,AS202,0,0,0,0,0,0,0,0
117,1000014,AS203,0,0,0,0,0,0,0,0
118,1000027,AS204,0,0,0,0,0,0,0,0
119,1000028,AS205,0,0,0,0,0,0,0,0
120,1000015,AS206,0,0,0,0,0,0,0,0
121,1000029,AS207A,1,1,0,6,54,54,54,-159
122,1000030,AS207B,0,0,0,0,0,0,0,0
123,1000031,AS207C,0,0,0,0,0,0,0,0
124,1000032,AS209,0,0,0,0,0,0,0,0
125,1000017,AS210,0,0,0,0,0,0,0,0
126,1000033,AS211,0,0,0,0,0,0,0,0
127,1000034,AS212,0,0,0,0,0,0,0,0
128,1000035,AS213,0,0,0,0,0,0,0,0
129,1000036,AS214,0,0,0,0,0,0,0,0
130,1000037,AS215,1,0,1,3,13,13,13,3
131,1000038,AS215F,0,0,0,0,0,0,0,0
132,1000204,AS35A,0,0,0,0,0,0,0,0
133,1000205,AS35B,0,0,0,0,0,0,0,0
134,1000420,HP001,0,0,0,0,0,0,0,0
135,1000421,HP002,0,0,0,0,0,0,0,0
136,1000422,HP003,0,0,0,0,0,0,0,0
137,1000423,HP004,1,0,1,3,37,37,37,8
138,1000424,HP005,1,1,0,7,41,41,41,-5
139,1000425,HP006,0,0,0,0,0,0,0,0
140,1000426,HP007,0,0,0,0,0,0,0,0
141,1000427,HP008,0,0,0,0,0,0,0,0
142,1000428,HP009,0,0,0,0,0,0,0,0
143,1000429,HP010,0,0,0,0,0,0,0,0
144,1000430,HP011,2,1,1,3,140,406,273,-1.5
145,1000431,HP012,0,0,0,0,0,0,0,0
146,1000432,HP013,0,0,0,0,0,0,0,0
147,1000433,HP014,0,0,0,0,0,0,0,0
148,1000434,HP015,0,0,0,0,0,0,0,0
149,1000435,HP016,0,0,0,0,0,0,0,0
150,1000436,HP017,0,0,0,0,0,0,0,0
151,1000437,HP018,0,0,0,0,0,0,0,0
152,1000438,HP019,0,0,0,0,0,0,0,0
153,1000439,HP020,0,0,0,0,0,0,0,0
154,1000440,HP021,0,0,0,0,0,0,0,0
155,1000441,HP022,0,0,0,0,0,0,0,0
156,1000442,HP023,0,0,0,0,0,0,0,0
157,1000443,HP024,0,0,0,0,0,0,0,0
158,1000444,HP025,0,0,0,0,0,0,0,0
159,1000445,HP026,0,0,0,0,0,0,0,0
160,1000446,HP027,0,0,0,0,0,0,0,0
161,1000447,HP028,0,0,0,0,0,0,0,0
162,1000448,HP029,0,0,0,0,0,0,0,0
163,1000449,HP030,0,0,0,0,0,0,0,0
164,1000450,HP031,0,0,0,0,0,0,0,0
165,1000451,HP032,0,0,0,0,0,0,0,0
166,1000562,HP033,0,0,0,0,0,0,0,0
167,1000563,HP034,0,0,0,0,0,0,0,0
168,1000566,HP037,0,0,0,0,0,0,0,0
169,1000567,HP038,0,0,0,0,0,0,0,0
170,1000593,HP039,0,0,0,0,0,0,0,0
171,1000569,HP040,0,0,0,0,0,0,0,0
172,1000571,HP042,0,0,0,0,0,0,0,0
173,1000572,HP043,0,0,0,0,0,0,0,0
174,1000573,HP044,0,0,0,0,0,0,0,0
175,1000575,HP046 A,0,0,0,0,0,0,0,0
176,1000576,HP046 B,0,0,0,0,0,0,0,0
177,1000579,HP049,0,0,0,0,0,0,0,0
178,1000580,HP050,0,0,0,0,0,0,0,0
179,1000581,HP051 A,0,0,0,0,0,0,0,0
180,1000582,HP051 B,0,0,0,0,0,0,0,0
181,1000583,HP052,0,0,0,0,0,0,0,0
182,1000584,HP053,0,0,0,0,0,0,0,0
183,1000585,HP054,0,0,0,0,0,0,0,0
184,1000586,HP056,0,0,0,0,0,0,0,0
185,1000587,HP057,0,0,0,0,0,0,0,0
186,1000625,JC001,0,0,0,0,0,0,0,0
187,1000626,JC002,0,0,0,0,0,0,0,0
188,1000627,JC003,0,0,0,0,0,0,0,0
189,1000628,JC004,0,0,0,0,0,0,0,0
190,1000629,JC005,0,0,0,0,0,0,0,0
191,1000630,JC006,0,0,0,0,0,0,0,0
192,1000631,JC007,0,0,0,0,0,0,0,0
193,1000632,JC008,0,0,0,0,0,0,0,0
194,1000633,JC009,0,0,0,0,0,0,0,0
195,1000634,JC010,0,0,0,0,0,0,0,0
196,1000635,JC011,0,0,0,0,0,0,0,0
197,1000636,JC012,0,0,0,0,0,0,0,0
198,1000637,JC013,0,0,0,0,0,0,0,0
199,1000638,JC014,0,0,0,0,0,0,0,0
200,1000639,JC015,0,0,0,0,0,0,0,0
201,1000640,JC016,0,0,0,0,0,0,0,0
202,1000641,JC017,0,0,0,0,0,0,0,0
203,1000642,JC018,0,0,0,0,0,0,0,0
204,1000643,JC019,0,0,0,0,0,0,0,0
205,1000644,JC020,0,0,0,0,0,0,0,0
206,1000645,JC021,0,0,0,0,0,0,0,0
207,1000646,JC022,0,0,0,0,0,0,0,0
208,1000647,JC023,0,0,0,0,0,0,0,0
209,1000012,UR002,1,0,1,5,91,91,91,5
210,1000020,UR003,0,0,0,0,0,0,0,0
211,1000005,UR005,0,0,0,0,0,0,0,0
212,1000025,UR006,30,14,16,122,11,521,43,-24.2
213,1000006,UR007,0,0,0,0,0,0,0,0
214,1000001,UR008,0,0,0,0,0,0,0,0
215,1000019,UR009,2,1,1,3,14,14,14,2.5
216,1000004,UR010,1,0,1,3,16,16,16,90
217,1000007,UR011,2,1,1,8,31,891,461,4
218,1000009,UR012,5,4,1,5,37,108,89,-20.4
219,1000008,UR013,0,0,0,0,0,0,0,0
220,1000011,UR014,0,0,0,0,0,0,0,0
221,1000010,UR015,1,0,1,7,763,763,763,28
222,1000018,UR016,24,11,13,7,11,53,16,10.083333333333334
223,1000003,UR018,0,0,0,0,0,0,0,0
224,1000000,UR019,0,0,0,0,0,0,0,0
225,1000002,UR020,0,0,0,0,0,0,0,0
226,1000022,UR021,1,1,0,3,13,13,13,-32
227,1000045,UR022,5,4,1,5,18,102,52,-49.2
228,1000307,UR023,0,0,0,0,0,0,0,0
229,1000306,UR024,0,0,0,0,0,0,0,0
230,1000335,UR026,0,0,0,0,0,0,0,0
231,1000303,UR027,0,0,0,0,0,0,0,0
