,name,num_banded_clusters,num_seriated_clusters,percent_banded_clusters,percent_seriated_clusters,num_pendant_pendant_sum,pendant_pendant_sum,num_pendant_pendants_color_sum,pendant_pendants_color_sum,num_indexed_pendant_sum,indexed_pendant_sum,num_subsidiary_pendant_sum,subsidiary_pendant_sum,num_cluster_cluster_sum,cluster_cluster_sum,num_cluster_sum_bands,cluster_sum_bands,num_ascher_decreasing_cluster,ascher_decreasing_cluster
0,"<a target=""_blank"" href=""./sum_relations/AS001.html"">AS001</a>",4,0,100%,0%,1,"<a href=""./pendant_pendant_sum/AS001_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS001_pendant_pendant_sum_L.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS001_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS001_pendant_pendants_color_sum_L.jpg""></a>",0,,0,,0,,0,,0,
1,"<a target=""_blank"" href=""./sum_relations/AS002.html"">AS002</a>",1,1,50%,50%,1,"<a href=""./pendant_pendant_sum/AS002_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS002_pendant_pendant_sum_L.jpg""></a>",0,,0,,0,,0,,0,,0,
2,"<a target=""_blank"" href=""./sum_relations/AS003.html"">AS003</a>",2,0,100%,0%,2,"<a href=""./pendant_pendant_sum/AS003_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS003_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS003_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS003_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS003_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS003_pendant_pendants_color_sum_L.jpg""></a>",0,,0,,1,"<a href=""./cluster_cluster_sum/AS003_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS003_cluster_cluster_sum.jpg""></a>",0,,0,
3,"<a target=""_blank"" href=""./sum_relations/AS004.html"">AS004</a>",6,1,86%,14%,2,"<a href=""./pendant_pendant_sum/AS004_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS004_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS004_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS004_pendant_pendant_sum_R.jpg""></a>",0,,0,,0,,0,,0,,0,
4,"<a target=""_blank"" href=""./sum_relations/AS005.html"">AS005</a>",4,7,36%,64%,5,"<a href=""./pendant_pendant_sum/AS005_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS005_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS005_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS005_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS005_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS005_pendant_pendants_color_sum_R.jpg""></a>",1,"<a href=""./indexed_pendant_sum/AS005_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS005_indexed_pendant_sum_L.jpg""></a>",0,,0,,0,,0,
5,"<a target=""_blank"" href=""./sum_relations/AS006.html"">AS006</a>",8,4,67%,33%,16,"<a href=""./pendant_pendant_sum/AS006_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS006_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS006_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS006_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS006_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS006_pendant_pendants_color_sum_L.jpg""></a>",0,,0,,3,"<a href=""./cluster_cluster_sum/AS006_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS006_cluster_cluster_sum.jpg""></a>",0,,0,
6,"<a target=""_blank"" href=""./sum_relations/AS007.html"">AS007</a>",26,11,70%,30%,82,"<a href=""./pendant_pendant_sum/AS007_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS007_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS007_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS007_pendant_pendant_sum_R.jpg""></a>",39,"<a href=""./pendant_pendants_color_sum/AS007_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS007_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS007_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS007_pendant_pendants_color_sum_R.jpg""></a>",57,"<a href=""./indexed_pendant_sum/AS007_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS007_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/AS007_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS007_indexed_pendant_sum_R.jpg""></a>",4,"<a href=""./subsidiary_pendant_sum/AS007_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS007_subsidiary_pendant_sum_R.jpg""></a>",3,"<a href=""./cluster_cluster_sum/AS007_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS007_cluster_cluster_sum.jpg""></a>",0,,0,
7,"<a target=""_blank"" href=""./sum_relations/AS008.html"">AS008</a>",5,41,11%,89%,86,"<a href=""./pendant_pendant_sum/AS008_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS008_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS008_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS008_pendant_pendant_sum_R.jpg""></a>",16,"<a href=""./pendant_pendants_color_sum/AS008_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS008_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS008_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS008_pendant_pendants_color_sum_R.jpg""></a>",12,"<a href=""./indexed_pendant_sum/AS008_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS008_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/AS008_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS008_indexed_pendant_sum_R.jpg""></a>",6,"<a href=""./subsidiary_pendant_sum/AS008_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS008_subsidiary_pendant_sum_L.jpg""></a><a href=""./subsidiary_pendant_sum/AS008_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS008_subsidiary_pendant_sum_R.jpg""></a>",1,"<a href=""./cluster_cluster_sum/AS008_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS008_cluster_cluster_sum.jpg""></a>",0,,0,
8,"<a target=""_blank"" href=""./sum_relations/AS009.html"">AS009</a>",1,4,20%,80%,0,,0,,0,,0,,0,,0,,1,"<a href=""./ascher_decreasing_cluster/AS009_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS009_ascher_decreasing_cluster.jpg""></a>"
9,"<a target=""_blank"" href=""./sum_relations/AS010.html"">AS010</a>",9,4,69%,31%,5,"<a href=""./pendant_pendant_sum/AS010_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS010_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS010_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS010_pendant_pendant_sum_R.jpg""></a>",0,,2,"<a href=""./indexed_pendant_sum/AS010_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS010_indexed_pendant_sum_L.jpg""></a>",2,"<a href=""./subsidiary_pendant_sum/AS010_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS010_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,0,
10,"<a target=""_blank"" href=""./sum_relations/AS012.html"">AS012</a>",5,2,71%,29%,7,"<a href=""./pendant_pendant_sum/AS012_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS012_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS012_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS012_pendant_pendant_sum_R.jpg""></a>",3,"<a href=""./pendant_pendants_color_sum/AS012_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS012_pendant_pendants_color_sum_R.jpg""></a>",0,,0,,0,,0,,0,
11,"<a target=""_blank"" href=""./sum_relations/AS013.html"">AS013</a>",7,4,64%,36%,5,"<a href=""./pendant_pendant_sum/AS013_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS013_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS013_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS013_pendant_pendant_sum_R.jpg""></a>",4,"<a href=""./pendant_pendants_color_sum/AS013_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS013_pendant_pendants_color_sum_L.jpg""></a>",1,"<a href=""./indexed_pendant_sum/AS013_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS013_indexed_pendant_sum_L.jpg""></a>",0,,0,,1,"<a href=""./cluster_sum_bands/AS013_cluster_sum_bands.html""><img src=""./cluster_sum_bands/images/table_thumbnails/AS013_cluster_sum_bands.jpg""></a>",1,"<a href=""./ascher_decreasing_cluster/AS013_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS013_ascher_decreasing_cluster.jpg""></a>"
12,"<a target=""_blank"" href=""./sum_relations/AS014.html"">AS014</a>",0,1,0%,100%,3,"<a href=""./pendant_pendant_sum/AS014_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS014_pendant_pendant_sum_R.jpg""></a>",0,,0,,2,"<a href=""./subsidiary_pendant_sum/AS014_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS014_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,0,
13,"<a target=""_blank"" href=""./sum_relations/AS016.html"">AS016</a>",0,1,0%,100%,1,"<a href=""./pendant_pendant_sum/AS016_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS016_pendant_pendant_sum_R.jpg""></a>",0,,0,,0,,0,,0,,0,
14,"<a target=""_blank"" href=""./sum_relations/AS019.html"">AS019</a>",2,0,100%,0%,1,"<a href=""./pendant_pendant_sum/AS019_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS019_pendant_pendant_sum_R.jpg""></a>",0,,0,,0,,0,,0,,0,
15,"<a target=""_blank"" href=""./sum_relations/AS020.html"">AS020</a>",0,2,0%,100%,1,"<a href=""./pendant_pendant_sum/AS020_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS020_pendant_pendant_sum_R.jpg""></a>",0,,0,,0,,0,,0,,2,"<a href=""./ascher_decreasing_cluster/AS020_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS020_ascher_decreasing_cluster.jpg""></a>"
16,"<a target=""_blank"" href=""./sum_relations/AS021.html"">AS021</a>",1,7,12%,88%,19,"<a href=""./pendant_pendant_sum/AS021_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS021_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS021_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS021_pendant_pendant_sum_R.jpg""></a>",2,"<a href=""./pendant_pendants_color_sum/AS021_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS021_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS021_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS021_pendant_pendants_color_sum_R.jpg""></a>",1,"<a href=""./indexed_pendant_sum/AS021_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS021_indexed_pendant_sum_R.jpg""></a>",0,,0,,0,,0,
17,"<a target=""_blank"" href=""./sum_relations/AS023.html"">AS023</a>",0,1,0%,100%,0,,0,,0,,0,,0,,1,"<a href=""./cluster_sum_bands/AS023_cluster_sum_bands.html""><img src=""./cluster_sum_bands/images/table_thumbnails/AS023_cluster_sum_bands.jpg""></a>",1,"<a href=""./ascher_decreasing_cluster/AS023_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS023_ascher_decreasing_cluster.jpg""></a>"
18,"<a target=""_blank"" href=""./sum_relations/AS026A.html"">AS026A</a>",1,5,17%,83%,5,"<a href=""./pendant_pendant_sum/AS026A_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS026A_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS026A_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS026A_pendant_pendant_sum_R.jpg""></a>",2,"<a href=""./pendant_pendants_color_sum/AS026A_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS026A_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS026A_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS026A_pendant_pendants_color_sum_R.jpg""></a>",0,,0,,0,,0,,0,
19,"<a target=""_blank"" href=""./sum_relations/AS026B.html"">AS026B</a>",13,0,100%,0%,9,"<a href=""./pendant_pendant_sum/AS026B_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS026B_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS026B_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS026B_pendant_pendant_sum_R.jpg""></a>",15,"<a href=""./pendant_pendants_color_sum/AS026B_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS026B_pendant_pendants_color_sum_R.jpg""></a>",17,"<a href=""./indexed_pendant_sum/AS026B_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS026B_indexed_pendant_sum_R.jpg""></a>",0,,0,,0,,0,
20,"<a target=""_blank"" href=""./sum_relations/AS027.html"">AS027</a>",4,0,100%,0%,0,,0,,0,,2,"<a href=""./subsidiary_pendant_sum/AS027_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS027_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,0,
21,"<a target=""_blank"" href=""./sum_relations/AS028.html"">AS028</a>",2,6,25%,75%,9,"<a href=""./pendant_pendant_sum/AS028_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS028_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS028_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS028_pendant_pendant_sum_R.jpg""></a>",3,"<a href=""./pendant_pendants_color_sum/AS028_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS028_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS028_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS028_pendant_pendants_color_sum_R.jpg""></a>",0,,2,"<a href=""./subsidiary_pendant_sum/AS028_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS028_subsidiary_pendant_sum_L.jpg""></a>",0,,0,,1,"<a href=""./ascher_decreasing_cluster/AS028_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS028_ascher_decreasing_cluster.jpg""></a>"
22,"<a target=""_blank"" href=""./sum_relations/AS029.html"">AS029</a>",1,12,8%,92%,18,"<a href=""./pendant_pendant_sum/AS029_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS029_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS029_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS029_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS029_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS029_pendant_pendants_color_sum_R.jpg""></a>",0,,14,"<a href=""./subsidiary_pendant_sum/AS029_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS029_subsidiary_pendant_sum_L.jpg""></a><a href=""./subsidiary_pendant_sum/AS029_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS029_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,0,
23,"<a target=""_blank"" href=""./sum_relations/AS035D.html"">AS035D</a>",1,7,12%,88%,7,"<a href=""./pendant_pendant_sum/AS035D_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS035D_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS035D_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS035D_pendant_pendant_sum_R.jpg""></a>",0,,2,"<a href=""./indexed_pendant_sum/AS035D_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS035D_indexed_pendant_sum_R.jpg""></a>",0,,0,,0,,0,
24,"<a target=""_blank"" href=""./sum_relations/AS036.html"">AS036</a>",0,9,0%,100%,25,"<a href=""./pendant_pendant_sum/AS036_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS036_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS036_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS036_pendant_pendant_sum_R.jpg""></a>",3,"<a href=""./pendant_pendants_color_sum/AS036_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS036_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS036_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS036_pendant_pendants_color_sum_R.jpg""></a>",0,,2,"<a href=""./subsidiary_pendant_sum/AS036_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS036_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,1,"<a href=""./ascher_decreasing_cluster/AS036_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS036_ascher_decreasing_cluster.jpg""></a>"
25,"<a target=""_blank"" href=""./sum_relations/AS037.html"">AS037</a>",0,7,0%,100%,17,"<a href=""./pendant_pendant_sum/AS037_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS037_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS037_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS037_pendant_pendant_sum_R.jpg""></a>",3,"<a href=""./pendant_pendants_color_sum/AS037_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS037_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS037_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS037_pendant_pendants_color_sum_R.jpg""></a>",0,,0,,0,,0,,1,"<a href=""./ascher_decreasing_cluster/AS037_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS037_ascher_decreasing_cluster.jpg""></a>"
26,"<a target=""_blank"" href=""./sum_relations/AS039.html"">AS039</a>",1,10,9%,91%,2,"<a href=""./pendant_pendant_sum/AS039_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS039_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS039_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS039_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS039_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS039_pendant_pendants_color_sum_L.jpg""></a>",3,"<a href=""./indexed_pendant_sum/AS039_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS039_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/AS039_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS039_indexed_pendant_sum_R.jpg""></a>",0,,0,,0,,2,"<a href=""./ascher_decreasing_cluster/AS039_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS039_ascher_decreasing_cluster.jpg""></a>"
27,"<a target=""_blank"" href=""./sum_relations/AS041.html"">AS041</a>",1,9,10%,90%,3,"<a href=""./pendant_pendant_sum/AS041_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS041_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS041_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS041_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS041_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS041_pendant_pendants_color_sum_R.jpg""></a>",0,,0,,1,"<a href=""./cluster_cluster_sum/AS041_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS041_cluster_cluster_sum.jpg""></a>",0,,0,
28,"<a target=""_blank"" href=""./sum_relations/AS043.html"">AS043</a>",0,3,0%,100%,0,,0,,0,,4,"<a href=""./subsidiary_pendant_sum/AS043_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS043_subsidiary_pendant_sum_L.jpg""></a><a href=""./subsidiary_pendant_sum/AS043_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS043_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,0,
29,"<a target=""_blank"" href=""./sum_relations/AS044.html"">AS044</a>",24,4,86%,14%,48,"<a href=""./pendant_pendant_sum/AS044_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS044_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS044_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS044_pendant_pendant_sum_R.jpg""></a>",17,"<a href=""./pendant_pendants_color_sum/AS044_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS044_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS044_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS044_pendant_pendants_color_sum_R.jpg""></a>",14,"<a href=""./indexed_pendant_sum/AS044_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS044_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/AS044_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS044_indexed_pendant_sum_R.jpg""></a>",18,"<a href=""./subsidiary_pendant_sum/AS044_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS044_subsidiary_pendant_sum_L.jpg""></a><a href=""./subsidiary_pendant_sum/AS044_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS044_subsidiary_pendant_sum_R.jpg""></a>",3,"<a href=""./cluster_cluster_sum/AS044_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/AS044_cluster_cluster_sum.jpg""></a>",0,,0,
30,"<a target=""_blank"" href=""./sum_relations/AS045.html"">AS045</a>",4,6,40%,60%,16,"<a href=""./pendant_pendant_sum/AS045_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS045_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS045_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS045_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/AS045_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS045_pendant_pendants_color_sum_L.jpg""></a>",1,"<a href=""./indexed_pendant_sum/AS045_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS045_indexed_pendant_sum_L.jpg""></a>",6,"<a href=""./subsidiary_pendant_sum/AS045_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS045_subsidiary_pendant_sum_L.jpg""></a><a href=""./subsidiary_pendant_sum/AS045_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/AS045_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,1,"<a href=""./ascher_decreasing_cluster/AS045_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/AS045_ascher_decreasing_cluster.jpg""></a>"
31,"<a target=""_blank"" href=""./sum_relations/AS048.html"">AS048</a>",0,12,0%,100%,11,"<a href=""./pendant_pendant_sum/AS048_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS048_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/AS048_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/AS048_pendant_pendant_sum_R.jpg""></a>",9,"<a href=""./pendant_pendants_color_sum/AS048_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS048_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/AS048_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/AS048_pendant_pendants_color_sum_R.jpg""></a>",6,"<a href=""./indexed_pendant_sum/AS048_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/AS048_indexed_pendant_sum_R.jpg""></a>",0,,0,,0,,0,
