,name,num_banded_clusters,num_seriated_clusters,percent_banded_clusters,percent_seriated_clusters,num_pendant_pendant_sum,pendant_pendant_sum,num_pendant_pendants_color_sum,pendant_pendants_color_sum,num_indexed_pendant_sum,indexed_pendant_sum,num_subsidiary_pendant_sum,subsidiary_pendant_sum,num_cluster_cluster_sum,cluster_cluster_sum,num_cluster_sum_bands,cluster_sum_bands,num_ascher_decreasing_cluster,ascher_decreasing_cluster
436,"<a target=""_blank"" href=""./sum_relations/UR1091.html"">UR1091</a>",13,8,62%,38%,19,"<a href=""./pendant_pendant_sum/UR1091_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1091_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/UR1091_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1091_pendant_pendant_sum_R.jpg""></a>",13,"<a href=""./pendant_pendants_color_sum/UR1091_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1091_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/UR1091_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1091_pendant_pendants_color_sum_R.jpg""></a>",12,"<a href=""./indexed_pendant_sum/UR1091_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1091_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/UR1091_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1091_indexed_pendant_sum_R.jpg""></a>",0,,0,,1,"<a href=""./cluster_sum_bands/UR1091_cluster_sum_bands.html""><img src=""./cluster_sum_bands/images/table_thumbnails/UR1091_cluster_sum_bands.jpg""></a>",0,
437,"<a target=""_blank"" href=""./sum_relations/UR1095.html"">UR1095</a>",5,5,50%,50%,81,"<a href=""./pendant_pendant_sum/UR1095_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1095_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/UR1095_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1095_pendant_pendant_sum_R.jpg""></a>",59,"<a href=""./pendant_pendants_color_sum/UR1095_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1095_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/UR1095_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1095_pendant_pendants_color_sum_R.jpg""></a>",4,"<a href=""./indexed_pendant_sum/UR1095_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1095_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/UR1095_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1095_indexed_pendant_sum_R.jpg""></a>",52,"<a href=""./subsidiary_pendant_sum/UR1095_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/UR1095_subsidiary_pendant_sum_L.jpg""></a><a href=""./subsidiary_pendant_sum/UR1095_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/UR1095_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,0,
438,"<a target=""_blank"" href=""./sum_relations/UR1096.html"">UR1096</a>",21,1,95%,5%,20,"<a href=""./pendant_pendant_sum/UR1096_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1096_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/UR1096_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1096_pendant_pendant_sum_R.jpg""></a>",10,"<a href=""./pendant_pendants_color_sum/UR1096_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1096_pendant_pendants_color_sum_L.jpg""></a><a href=""./pendant_pendants_color_sum/UR1096_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1096_pendant_pendants_color_sum_R.jpg""></a>",6,"<a href=""./indexed_pendant_sum/UR1096_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1096_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/UR1096_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1096_indexed_pendant_sum_R.jpg""></a>",0,,1,"<a href=""./cluster_cluster_sum/UR1096_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/UR1096_cluster_cluster_sum.jpg""></a>",0,,0,
439,"<a target=""_blank"" href=""./sum_relations/UR1098.html"">UR1098</a>",1,14,7%,93%,7,"<a href=""./pendant_pendant_sum/UR1098_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1098_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/UR1098_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1098_pendant_pendant_sum_R.jpg""></a>",0,,2,"<a href=""./indexed_pendant_sum/UR1098_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1098_indexed_pendant_sum_R.jpg""></a>",0,,0,,0,,0,
440,"<a target=""_blank"" href=""./sum_relations/UR1099.html"">UR1099</a>",0,16,0%,100%,3,"<a href=""./pendant_pendant_sum/UR1099_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1099_pendant_pendant_sum_R.jpg""></a>",1,"<a href=""./pendant_pendants_color_sum/UR1099_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1099_pendant_pendants_color_sum_R.jpg""></a>",0,,0,,0,,0,,0,
441,"<a target=""_blank"" href=""./sum_relations/UR1100.html"">UR1100</a>",6,3,67%,33%,10,"<a href=""./pendant_pendant_sum/UR1100_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1100_pendant_pendant_sum_R.jpg""></a>",10,"<a href=""./pendant_pendants_color_sum/UR1100_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1100_pendant_pendants_color_sum_R.jpg""></a>",7,"<a href=""./indexed_pendant_sum/UR1100_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1100_indexed_pendant_sum_L.jpg""></a><a href=""./indexed_pendant_sum/UR1100_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1100_indexed_pendant_sum_R.jpg""></a>",6,"<a href=""./subsidiary_pendant_sum/UR1100_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/UR1100_subsidiary_pendant_sum_R.jpg""></a>",1,"<a href=""./cluster_cluster_sum/UR1100_cluster_cluster_sum.html""><img src=""./cluster_cluster_sum/images/table_thumbnails/UR1100_cluster_cluster_sum.jpg""></a>",0,,1,"<a href=""./ascher_decreasing_cluster/UR1100_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/UR1100_ascher_decreasing_cluster.jpg""></a>"
442,"<a target=""_blank"" href=""./sum_relations/UR1102.html"">UR1102</a>",3,0,100%,0%,5,"<a href=""./pendant_pendant_sum/UR1102_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1102_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/UR1102_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1102_pendant_pendant_sum_R.jpg""></a>",7,"<a href=""./pendant_pendants_color_sum/UR1102_pendant_pendants_color_sum.html""><img src=""./pendant_pendants_color_sum/images/table_thumbnails/UR1102_pendant_pendants_color_sum_L.jpg""></a>",0,,0,,0,,0,,0,
443,"<a target=""_blank"" href=""./sum_relations/UR1103.html"">UR1103</a>",1,4,20%,80%,5,"<a href=""./pendant_pendant_sum/UR1103_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1103_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/UR1103_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1103_pendant_pendant_sum_R.jpg""></a>",0,,0,,2,"<a href=""./subsidiary_pendant_sum/UR1103_subsidiary_pendant_sum.html""><img src=""./subsidiary_pendant_sum/images/table_thumbnails/UR1103_subsidiary_pendant_sum_R.jpg""></a>",0,,0,,0,
444,"<a target=""_blank"" href=""./sum_relations/UR1105.html"">UR1105</a>",2,0,100%,0%,1,"<a href=""./pendant_pendant_sum/UR1105_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1105_pendant_pendant_sum_R.jpg""></a>",0,,0,,0,,0,,0,,2,"<a href=""./ascher_decreasing_cluster/UR1105_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/UR1105_ascher_decreasing_cluster.jpg""></a>"
445,"<a target=""_blank"" href=""./sum_relations/UR1106.html"">UR1106</a>",3,8,27%,73%,5,"<a href=""./pendant_pendant_sum/UR1106_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1106_pendant_pendant_sum_L.jpg""></a><a href=""./pendant_pendant_sum/UR1106_pendant_pendant_sum.html""><img src=""./pendant_pendant_sum/images/table_thumbnails/UR1106_pendant_pendant_sum_R.jpg""></a>",0,,1,"<a href=""./indexed_pendant_sum/UR1106_indexed_pendant_sum.html""><img src=""./indexed_pendant_sum/images/table_thumbnails/UR1106_indexed_pendant_sum_R.jpg""></a>",0,,0,,0,,1,"<a href=""./ascher_decreasing_cluster/UR1106_ascher_decreasing_cluster.html""><img src=""./ascher_decreasing_cluster/images/table_thumbnails/UR1106_ascher_decreasing_cluster.jpg""></a>"
