,khipu_id,name,num_sum_clusters,min_sum,max_sum,mean_sum
151,1000437,HP018,0,0,0,0
152,1000438,HP019,0,0,0,0
153,1000439,HP020,0,0,0,0
154,1000440,HP021,0,0,0,0
155,1000441,HP022,0,0,0,0
156,1000442,HP023,0,0,0,0
157,1000443,HP024,0,0,0,0
158,1000444,HP025,0,0,0,0
159,1000445,HP026,0,0,0,0
160,1000446,HP027,0,0,0,0
161,1000447,HP028,0,0,0,0
162,1000448,HP029,0,0,0,0
163,1000449,HP030,1,5414,5414,5414
164,1000450,HP031,0,0,0,0
165,1000451,HP032,0,0,0,0
166,1000562,HP033,0,0,0,0
167,1000563,HP034,0,0,0,0
168,1000566,HP037,0,0,0,0
169,1000567,HP038,0,0,0,0
170,1000593,HP039,0,0,0,0
171,1000569,HP040,0,0,0,0
172,1000571,HP042,0,0,0,0
173,1000572,HP043,0,0,0,0
174,1000573,HP044,0,0,0,0
175,1000575,HP046 A,0,0,0,0
176,1000576,HP046 B,0,0,0,0
177,1000579,HP049,0,0,0,0
178,1000580,HP050,2,22,23,22
179,1000581,HP051 A,0,0,0,0
180,1000582,HP051 B,0,0,0,0
181,1000583,HP052,0,0,0,0
182,1000584,HP053,0,0,0,0
183,1000585,HP054,0,0,0,0
184,1000586,HP056,1,45,45,45
185,1000587,HP057,0,0,0,0
186,1000625,JC001,2,27,125,76
187,1000626,JC002,0,0,0,0
188,1000627,JC003,0,0,0,0
189,1000628,JC004,0,0,0,0
190,1000629,JC005,0,0,0,0
191,1000630,JC006,0,0,0,0
192,1000631,JC007,0,0,0,0
193,1000632,JC008,0,0,0,0
194,1000633,JC009,0,0,0,0
195,1000634,JC010,1,41,41,41
196,1000635,JC011,0,0,0,0
197,1000636,JC012,0,0,0,0
198,1000637,JC013,0,0,0,0
199,1000638,JC014,0,0,0,0
200,1000639,JC015,0,0,0,0
201,1000640,JC016,0,0,0,0
202,1000641,JC017,0,0,0,0
203,1000642,JC018,0,0,0,0
204,1000643,JC019,0,0,0,0
205,1000644,JC020,0,0,0,0
206,1000645,JC021,0,0,0,0
207,1000646,JC022,0,0,0,0
208,1000647,JC023,0,0,0,0
209,1000012,UR002,0,0,0,0
210,1000020,UR003,1,51,51,51
211,1000005,UR005,0,0,0,0
212,1000025,UR006,4,26,71,51
213,1000006,UR007,0,0,0,0
214,1000001,UR008,0,0,0,0
215,1000019,UR009,0,0,0,0
216,1000004,UR010,5,92,126,110
217,1000007,UR011,0,0,0,0
218,1000009,UR012,0,0,0,0
219,1000008,UR013,0,0,0,0
220,1000011,UR014,0,0,0,0
221,1000010,UR015,0,0,0,0
222,1000018,UR016,0,0,0,0
223,1000003,UR018,0,0,0,0
224,1000000,UR019,0,0,0,0
225,1000002,UR020,0,0,0,0
226,1000022,UR021,0,0,0,0
227,1000045,UR022,1,144,144,144
228,1000307,UR023,0,0,0,0
229,1000306,UR024,0,0,0,0
230,1000335,UR026,0,0,0,0
231,1000303,UR027,0,0,0,0
232,1000304,UR028,1,102,102,102
233,1000305,UR029,0,0,0,0
234,1000330,UR032,0,0,0,0
235,1000276,UR033,0,0,0,0
236,1000380,UR034,2,36,38,37
237,1000331,UR037,1,24,24,24
238,1000277,UR038,0,0,0,0
239,1000098,UR040,0,0,0,0
240,1000099,UR041,0,0,0,0
241,1000100,UR042,0,0,0,0
242,1000332,UR045,1,23,23,23
243,1000241,UR046,0,0,0,0
244,1000240,UR047,2,100,100,100
245,1000239,UR048,0,0,0,0
246,1000238,UR049,2,25,45,35
247,1000375,UR051,0,0,0,0
248,1000265,UR053A,0,0,0,0
249,1000266,UR053B,0,0,0,0
250,1000267,UR053C,0,0,0,0
251,1000268,UR053D,0,0,0,0
252,1000269,UR053E,0,0,0,0
253,1000295,UR056A,0,0,0,0
254,1000296,UR056B,0,0,0,0
255,1000297,UR056C,0,0,0,0
256,1000309,UR057,0,0,0,0
257,1000298,UR058A,0,0,0,0
258,1000299,UR058B,0,0,0,0
259,1000390,UR059,0,0,0,0
260,1000264,UR060,0,0,0,0
261,1000246,UR061,0,0,0,0
262,1000243,UR062,0,0,0,0
263,1000259,UR063,0,0,0,0
264,1000263,UR064,0,0,0,0
265,1000242,UR065,0,0,0,0
266,1000261,UR066,0,0,0,0
267,1000260,UR067,0,0,0,0
268,1000262,UR068,0,0,0,0
269,1000245,UR069,0,0,0,0
270,1000247,UR070,0,0,0,0
271,1000248,UR071,0,0,0,0
272,1000249,UR072,0,0,0,0
273,1000250,UR073,0,0,0,0
274,1000251,UR074,0,0,0,0
275,1000252,UR075,0,0,0,0
276,1000253,UR076,0,0,0,0
277,1000244,UR077,0,0,0,0
278,1000254,UR078,0,0,0,0
279,1000255,UR079,0,0,0,0
280,1000256,UR080,0,0,0,0
281,1000257,UR081,0,0,0,0
282,1000258,UR082,0,0,0,0
283,1000319,UR084,0,0,0,0
284,1000280,UR085,0,0,0,0
285,1000336,UR086,2,58,213,135
286,1000273,UR087,6,21,27,22
287,1000270,UR088,0,0,0,0
288,1000275,UR089,1,114,114,114
289,1000274,UR090,0,0,0,0
290,1000271,UR091,0,0,0,0
291,1000272,UR092,0,0,0,0
292,1000321,UR093,2,82,89,85
293,1000337,UR094,0,0,0,0
294,1000338,UR095,0,0,0,0
295,1000339,UR096,0,0,0,0
296,1000340,UR097,0,0,0,0
297,1000347,UR098,0,0,0,0
298,1000348,UR099,0,0,0,0
299,1000349,UR100,0,0,0,0
300,1000350,UR101,0,0,0,0
301,1000351,UR102,0,0,0,0
302,1000352,UR103,0,0,0,0
303,1000103,UR1032,0,0,0,0
304,1000105,UR1033A,0,0,0,0
305,1000106,UR1033B,0,0,0,0
306,1000107,UR1033C,0,0,0,0
307,1000108,UR1033D,0,0,0,0
308,1000109,UR1033E,0,0,0,0
309,1000110,UR1033F,0,0,0,0
310,1000111,UR1033G,0,0,0,0
311,1000333,UR1034,0,0,0,0
312,1000353,UR104,0,0,0,0
313,1000208,UR1040,0,0,0,0
314,1000230,UR1049,0,0,0,0
315,1000354,UR105,0,0,0,0
316,1000214,UR1051,0,0,0,0
