,id,name,has_decreasing_clusters,num_decreasing_clusters,moment,decreasing_cluster_indices,mean
125,1000017,AS210,False,0,0.0,,0
126,1000033,AS211,False,0,0.0,,0
127,1000034,AS212,True,4,-1.0,"0, 2, 4, 12",9.75
128,1000035,AS213,False,0,0.0,,0
129,1000036,AS214,False,0,0.0,,0
130,1000037,AS215,False,0,0.0,,0
131,1000038,AS215F,False,0,0.0,,0
132,1000204,AS35A,False,0,0.0,,0
133,1000205,AS35B,False,0,0.0,,0
134,1000420,HP001,False,0,0.0,,0
135,1000421,HP002,False,0,0.0,,0
136,1000422,HP003,False,0,0.0,,0
137,1000423,HP004,False,0,0.0,,0
138,1000424,HP005,False,0,0.0,,0
139,1000425,HP006,False,0,0.0,,0
140,1000426,HP007,False,0,0.0,,0
141,1000427,HP008,False,0,0.0,,0
142,1000428,HP009,False,0,0.0,,0
143,1000429,HP010,False,0,0.0,,0
144,1000430,HP011,False,0,0.0,,0
145,1000431,HP012,False,0,0.0,,0
146,1000432,HP013,False,0,0.0,,0
147,1000433,HP014,False,0,0.0,,0
148,1000434,HP015,False,0,0.0,,0
149,1000435,HP016,False,0,0.0,,0
150,1000436,HP017,False,0,0.0,,0
151,1000437,HP018,False,0,0.0,,0
152,1000438,HP019,True,1,1.0,2,2.0
153,1000439,HP020,False,0,0.0,,0
154,1000440,HP021,False,0,0.0,,0
155,1000441,HP022,False,0,0.0,,0
156,1000442,HP023,False,0,0.0,,0
157,1000443,HP024,False,0,0.0,,0
158,1000444,HP025,False,0,0.0,,0
159,1000445,HP026,False,0,0.0,,0
160,1000446,HP027,False,0,0.0,,0
161,1000447,HP028,False,0,0.0,,0
162,1000448,HP029,False,0,0.0,,0
163,1000449,HP030,False,0,0.0,,0
164,1000450,HP031,False,0,0.0,,0
165,1000451,HP032,False,0,0.0,,0
166,1000562,HP033,False,0,0.0,,0
167,1000563,HP034,False,0,0.0,,0
168,1000566,HP037,False,0,0.0,,0
169,1000567,HP038,False,0,0.0,,0
170,1000593,HP039,False,0,0.0,,0
171,1000569,HP040,False,0,0.0,,0
172,1000571,HP042,False,0,0.0,,0
173,1000572,HP043,True,1,-0.5,0,4.0
174,1000573,HP044,False,0,0.0,,0
175,1000575,HP046 A,False,0,0.0,,0
176,1000576,HP046 B,False,0,0.0,,0
177,1000579,HP049,False,0,0.0,,0
178,1000580,HP050,False,0,0.0,,0
179,1000581,HP051 A,True,1,3.0,7,8.0
180,1000582,HP051 B,True,1,5.0,10,5.0
181,1000583,HP052,False,0,0.0,,0
182,1000584,HP053,False,0,0.0,,0
183,1000585,HP054,False,0,0.0,,0
184,1000586,HP056,False,0,0.0,,0
185,1000587,HP057,False,0,0.0,,0
186,1000625,JC001,True,5,0.4,"0, 2, 4, 5, 6",14.2
187,1000626,JC002,False,0,0.0,,0
188,1000627,JC003,True,1,1.0,1,8.0
189,1000628,JC004,False,0,0.0,,0
190,1000629,JC005,False,0,0.0,,0
191,1000630,JC006,False,0,0.0,,0
192,1000631,JC007,False,0,0.0,,0
193,1000632,JC008,False,0,0.0,,0
194,1000633,JC009,False,0,0.0,,0
195,1000634,JC010,False,0,0.0,,0
196,1000635,JC011,False,0,0.0,,0
197,1000636,JC012,False,0,0.0,,0
198,1000637,JC013,False,0,0.0,,0
199,1000638,JC014,False,0,0.0,,0
200,1000639,JC015,False,0,0.0,,0
201,1000640,JC016,False,0,0.0,,0
202,1000641,JC017,True,1,0.5,0,60.0
203,1000642,JC018,False,0,0.0,,0
204,1000643,JC019,True,1,0.5,0,21.0
205,1000644,JC020,False,0,0.0,,0
206,1000645,JC021,False,0,0.0,,0
207,1000646,JC022,False,0,0.0,,0
208,1000647,JC023,False,0,0.0,,0
209,1000012,UR002,False,0,0.0,,0
210,1000020,UR003,False,0,0.0,,0
211,1000005,UR005,False,0,0.0,,0
212,1000025,UR006,False,0,0.0,,0
213,1000006,UR007,False,0,0.0,,0
214,1000001,UR008,False,0,0.0,,0
215,1000019,UR009,False,0,0.0,,0
216,1000004,UR010,True,1,-12.0,2,13.0
217,1000007,UR011,False,0,0.0,,0
218,1000009,UR012,True,1,-2.0,3,20.0
219,1000008,UR013,False,0,0.0,,0
220,1000011,UR014,False,0,0.0,,0
221,1000010,UR015,False,0,0.0,,0
222,1000018,UR016,False,0,0.0,,0
223,1000003,UR018,False,0,0.0,,0
224,1000000,UR019,False,0,0.0,,0
225,1000002,UR020,False,0,0.0,,0
226,1000022,UR021,False,0,0.0,,0
227,1000045,UR022,True,1,-4.5,10,17.0
228,1000307,UR023,False,0,0.0,,0
229,1000306,UR024,False,0,0.0,,0
230,1000335,UR026,True,1,-2.5,0,13.0
231,1000303,UR027,False,0,0.0,,0
232,1000304,UR028,True,1,-2.0,1,18.0
233,1000305,UR029,False,0,0.0,,0
234,1000330,UR032,False,0,0.0,,0
235,1000276,UR033,False,0,0.0,,0
236,1000380,UR034,False,0,0.0,,0
237,1000331,UR037,True,1,-10.0,3,2.0
238,1000277,UR038,False,0,0.0,,0
239,1000098,UR040,False,0,0.0,,0
240,1000099,UR041,False,0,0.0,,0
241,1000100,UR042,False,0,0.0,,0
242,1000332,UR045,False,0,0.0,,0
243,1000241,UR046,False,0,0.0,,0
244,1000240,UR047,False,0,0.0,,0
245,1000239,UR048,False,0,0.0,,0
246,1000238,UR049,True,1,-7.5,6,11.0
247,1000375,UR051,False,0,0.0,,0
248,1000265,UR053A,False,0,0.0,,0
249,1000266,UR053B,False,0,0.0,,0
250,1000267,UR053C,False,0,0.0,,0
251,1000268,UR053D,False,0,0.0,,0
252,1000269,UR053E,False,0,0.0,,0
253,1000295,UR056A,False,0,0.0,,0
254,1000296,UR056B,False,0,0.0,,0
255,1000297,UR056C,False,0,0.0,,0
256,1000309,UR057,False,0,0.0,,0
257,1000298,UR058A,False,0,0.0,,0
258,1000299,UR058B,False,0,0.0,,0
259,1000390,UR059,False,0,0.0,,0
260,1000264,UR060,False,0,0.0,,0
261,1000246,UR061,True,1,4.0,8,27.0
262,1000243,UR062,False,0,0.0,,0
263,1000259,UR063,False,0,0.0,,0
264,1000263,UR064,False,0,0.0,,0
265,1000242,UR065,False,0,0.0,,0
266,1000261,UR066,True,1,0.0,2,6.0
267,1000260,UR067,False,0,0.0,,0
268,1000262,UR068,True,4,1.25,"4, 6, 10, 15",11.75
269,1000245,UR069,False,0,0.0,,0
270,1000247,UR070,False,0,0.0,,0
271,1000248,UR071,False,0,0.0,,0
272,1000249,UR072,False,0,0.0,,0
273,1000250,UR073,False,0,0.0,,0
274,1000251,UR074,False,0,0.0,,0
275,1000252,UR075,False,0,0.0,,0
276,1000253,UR076,False,0,0.0,,0
277,1000244,UR077,False,0,0.0,,0
278,1000254,UR078,False,0,0.0,,0
279,1000255,UR079,False,0,0.0,,0
280,1000256,UR080,False,0,0.0,,0
281,1000257,UR081,False,0,0.0,,0
282,1000258,UR082,False,0,0.0,,0
